SENTTOT,AGE,CITIZEN,CRIMHIST,CRIMPTS,DISTRICT,DSPLEA,INOUT,MONSEX,NEWEDUC,NEWRACE,OFFGUIDE,PRESENT,SENTIMP,WEAPON,XMAXSOR,XMINSOR
0.03,60.0,1.0,1.0,4.0,12,1,,0.0,1.0,2.0,10,2.0,2,0,57.0,46.0
80.0,35.0,1.0,1.0,11.0,52,1,,0.0,1.0,2.0,13,1.0,1,0,96.0,77.0
64.43,64.0,1.0,0.0,0.0,45,1,,1.0,3.0,2.0,10,1.0,1,0,135.0,108.0
120.0,25.0,3.0,0.0,0.0,67,5,,0.0,1.0,3.0,10,1.0,1,0,135.0,108.0
24.0,25.0,1.0,1.0,2.0,30,1,,0.0,3.0,2.0,16,2.0,1,0,33.0,27.0
5.53,26.0,1.0,1.0,0.0,14,1,,1.0,3.0,2.0,26,3.0,1,0,24.0,18.0
30.0,34.0,1.0,1.0,0.0,51,1,,1.0,5.0,2.0,10,2.0,1,0,57.0,46.0
2.13,37.0,3.0,1.0,0.0,42,5,0.0,0.0,1.0,3.0,17,1.0,1,0,6.0,0.0
30.0,24.0,1.0,0.0,0.0,42,1,,0.0,5.0,3.0,13,1.0,1,0,37.0,30.0
2.43,28.0,3.0,1.0,0.0,42,5,0.0,0.0,1.0,3.0,17,1.0,1,0,6.0,0.0
36.0,41.0,1.0,1.0,0.0,51,1,,1.0,6.0,1.0,10,2.0,1,0,46.0,37.0
40.0,29.0,1.0,1.0,8.0,47,1,,0.0,3.0,2.0,13,2.0,1,0,57.0,46.0
200.0,37.0,1.0,1.0,10.0,30,1,,1.0,1.0,3.0,10,1.0,1,1,405.0,324.0
470.0,33.0,3.0,1.0,0.0,39,1,,0.0,,3.0,10,1.0,1,1,9996.0,9996.0
87.0,37.0,1.0,1.0,4.0,47,1,,0.0,3.0,2.0,10,1.0,1,0,210.0,168.0
8.02,53.0,3.0,1.0,2.0,70,1,0.0,0.0,1.0,3.0,17,1.0,1,0,7.0,1.0
,35.0,1.0,0.0,0.0,42,5,1.0,0.0,5.0,3.0,30,2.0,4,0,6.0,0.0
100.0,29.0,1.0,1.0,2.0,30,1,,0.0,3.0,3.0,10,1.0,1,1,97.0,78.0
1.95,25.0,3.0,1.0,0.0,42,5,0.0,0.0,5.0,3.0,17,1.0,1,0,6.0,0.0
120.0,34.0,3.0,1.0,0.0,51,1,,0.0,3.0,3.0,10,1.0,1,0,121.0,97.0
4.2,36.0,3.0,1.0,5.0,70,1,,0.0,1.0,3.0,17,1.0,1,0,16.0,10.0
72.0,33.0,1.0,1.0,5.0,39,1,,0.0,3.0,3.0,16,1.0,1,0,125.0,100.0
18.0,21.0,3.0,0.0,0.0,42,5,,0.0,1.0,3.0,17,1.0,1,0,24.0,18.0
18.0,32.0,1.0,1.0,4.0,70,1,,0.0,5.0,3.0,17,3.0,1,0,30.0,24.0
14.0,40.0,3.0,1.0,10.0,70,1,,0.0,5.0,3.0,17,1.0,1,0,27.0,21.0
0.03,33.0,3.0,1.0,,41,5,0.0,0.0,,3.0,17,,1,0,7.0,1.0
22.0,59.0,3.0,1.0,15.0,74,1,,0.0,1.0,3.0,17,1.0,1,0,30.0,24.0
151.0,54.0,4.0,1.0,3.0,40,1,,0.0,1.0,3.0,10,1.0,1,0,188.0,151.0
21.0,33.0,1.0,1.0,1.0,70,1,,0.0,3.0,3.0,17,3.0,1,0,41.0,33.0
